id_mhs,list matkul,rekomendasi matkul
13510037,"IF4031-2013, KU4012-2013, TL4002-2013, IF4040-2013, IF4061-2013","IF4050-2013, KU2061-2013, DK3014-2013, BI2001-2013, IF2112-2013, AS2005-2013, KU4079-2013, IF4071-2013, IF4033-2013, IF4020-2013, KU2062-2013, KU4078-2013, IF4072-2013, IF4042-2013, DK3016-2013, IF4041-2013, IF4043-2013, TL4103-2013, IF4073-2013, IF4070-2013, TI3004-2013, IF4021-2013, DK4206-2013, KU4072-2013, KU2063-2013"
13510038,"IF4071-2013, KU4078-2013, IF4021-2013, IF4033-2013, IF4042-2013, DI4007-2013, KU4074-2013","DK3016-2013, DK3014-2013, IF2112-2013, AS2005-2013, IF4070-2013, IF4072-2013, KU4079-2013, IF4031-2013, KU2061-2013, IF4050-2013, IF4043-2013, TL4103-2013, IF4061-2013, KU4072-2013, TI3004-2013, IF4020-2013, KU2062-2013, IF4041-2013, KU4012-2013, IF4073-2013, KU4273-2013, BI2001-2013, DK4206-2013, IF4040-2013, KU2063-2013, TL4002-2013, KU4182-2013, KU2065-2013, KU4183-2013"
13510039,"IF4071-2013, IF4021-2013, IF4073-2013","DK4206-2013, IF4072-2013, KU2061-2013, IF4042-2013, IF2112-2013, DK3016-2013, DK3014-2013"
13510040,"IF4020-2013, IF4033-2013, IF4042-2013, IF4073-2013","IF4021-2013, DK3016-2013, IF2112-2013, IF4071-2013, DK3014-2013, AS2005-2013, IF4070-2013"
13510041,"IF4031-2013, TL4103-2013, IF4033-2013, IF4040-2013, IF4061-2013, II4062-2013","IF4050-2013, IF2112-2013, KU2061-2013, IF4020-2013, IF4042-2013, IF4150-2019, AS2005-2013"
13510042,"IF4031-2013, KU2061-2013, TL4103-2013, IF4033-2013, II4062-2013, IF4050-2013","IF2112-2013, AS2005-2013, IF4020-2013, IF4040-2013, IF4071-2013, KU4078-2013, KU4079-2013"
13510043,"IF4031-2013, IF4071-2013, IF4072-2013, IF4061-2013, IF4073-2013","DK4206-2013, KU2061-2013, IF4033-2013, AS2005-2013, TL4103-2013, DK3014-2013, IF4020-2013"
13510044,"IF4031-2013, IF5020-2013, IF5110-2013, DK4206-2013, IF4033-2013","IF4050-2013, IF2112-2013, KU2061-2013, IF4071-2013, IF4073-2013, IF4072-2013, IF4061-2013, KU4072-2013, IF4020-2013, AS2005-2013, DK3014-2013, KU4079-2013, KU2062-2013, DK3016-2013, KU4078-2013, KU2063-2013, IF4021-2013, IF4070-2013, TI3004-2013, IF4041-2013, IF4040-2013, TL4103-2013, KU4012-2013, TL4002-2013, IF4043-2013, KU2065-2013, BI2001-2013, IF4150-2019"
13510045,"IF4070-2013, TL4103-2013, IF4033-2013, IF4042-2013, IF4061-2013, IF4073-2013","IF4071-2013, IF2112-2013, IF4021-2013, DK3016-2013, DK3014-2013, AS2005-2013, IF4072-2013"
13510046,"IF4072-2013, TL4103-2013, IF4021-2013, IF4042-2013","DK3016-2013, IF2112-2013, IF4071-2013, DK3014-2013, AS2005-2013, IF4070-2013, IF4061-2013"
